Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
14/01/2018 00:00;14/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;10.3583333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
15/01/2018 00:00;15/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;26.0;25.945;µg-m3;83.0;100;83.0;A;1;45.757732;4.854214
15/01/2018 00:00;15/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.2583333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
16/01/2018 00:00;16/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;9.0;8.6916666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
16/01/2018 00:00;16/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;10.4;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
17/01/2018 00:00;17/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.1291666667;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
17/01/2018 00:00;17/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;16.5708333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
18/01/2018 00:00;18/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.5625;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
18/01/2018 00:00;18/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.1666666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
19/01/2018 00:00;19/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;11.91875;µg-m3;67.0;100;67.0;N;-1;45.757732;4.854214
19/01/2018 00:00;19/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.6791666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
20/01/2018 00:00;20/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.5083333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
20/01/2018 00:00;20/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;7.0;7.1375;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
21/01/2018 00:00;21/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.3666666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
21/01/2018 00:00;21/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;3.0;3.0541666667;µg-m3;100.0;100;100.0;R;1;44.86121;-0.58037
22/01/2018 00:00;22/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;18.0;17.9;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
